#separator:tab
#html:false
#deck:1A
#notetype:Basic
오	besh
이	bu/tish
아우	bola
아이	bola
오이	bodring
가수	qo'shiqchi
고기	go'sht
구두	tufli
나라	davlat
나무	daraxt
다리	oyoq
라디오	radio
머리	bosh
바나나	banan
바지	shim
소	sigir
아기	chaqaloq
어머니	ona
지도	xarita
모자	bosh kiyim
아버지	ota
허리	bel
지하	yer osti
야구	beyzbol
야자수	palma
이야기	suhbat
여자	ayol
벼	guruch
혀	til
요가	yoga
요리	ovqat pishirih
교수	professor
유리	shisha
휴지	tualet qog'ozi
우유	sut
카드	karta
코	burun
키	balandlik
타조	tuyaqush
토마토	pomidor
투우수	matador
파리	Parij
포도	uzum
우표	pochta markasi
차	choy
치마	yubka
고추	qalampir
커피	kofe
코트	palto
기차표	poyezd bilet
까치	zog'cha
꼬리	dum
코끼리	fil
따다	uzmoq
뜨다	suzmoq
머리띠	abadok
뿌리	tomir,ildiz
뼈	suyak
아빠	ota
싸다	arzon
쓰다	yozmoq/foydalanmoq
아저씨	ko'chadagi amaki
짜다	sho'r
찌다	bug'lamoq
가짜	qalbaki
개미	chumoli
배	qayiq
새	qush
해	quyosh
게	qisqichbaqa
세수	yuvinish
그네	arg'imchoq
카메라	kamera
얘기	suhbat
예쁘다	chiroyli
서예	xattotlik
시계	soat apparati
과자	pishiriq
와이셔츠	ko'ylak
화가	jahl
사과	olma
뭐	nima
줘요	bermoq
더워요	issiq
추워요	sovuq
돼지	cho'chqa
왜	nimaga
웨이터	ofitsant
스웨터	svitr
쇠고기	mol go'shti
외우다	yodlamoq
회사	firma
두뇌	miyya
귀	quloq
쉬다	dam olmoq
쥐	sichqon
가위	qaychi
의사	doktor
의자	stul
여의도	Yoi oroli
회의	majliz
수박	tarvuz
책	kitob
부엌	uy oshxonasi/kuxnya
밖	tashqari
돈	pul
레몬	limon
신문	gazeta
우산	zontik
곧	yaqinda
밑	osti
빗	taroq
옷	kiyim
낮	kunduzi
꽃	gul
빛	nur
딸기	qulupnay
물	suv
발	oyoq
연필	qalam
곰	ayiq
남자	erkak
엄마	ona
컴퓨터	kompyuter
밥	qaynatilgan guruch
입	og'iz
무릎	tizza
숲	o'rmon
가방	sumka
공	koptok
냉장고	muzlatkich
창문	deraza
중국	Xitoy
일본	Yaponiya
미국	AQSH
한국	Koreya
