#separator:tab
#html:false
#deck:1B
#notetype:Basic
할머니	buva
할아버지	buvi
어머니	ona
아버지	ota
누나	opa (o'g'il bolalar uchun)
형	aka (o'g'il bolalarga)
언니	opa (qizlarga)
오빠	aka (qizlarga)
여동생	singil
남동생	uka
아내	xotin
남편	er
딸	qiz farzand
아들	o'g'il farzand
열	10
스물	20
서른	30
마흔	40
쉰	50
예순	60
일흔	70
여든	80
아흔	90
백	100
이름/성함	ism
집/댁	uy
사람/명/분	odam
나이/연세	yosh
있다/계시다	bor bo'lmoq
먹다/마시다/드시다	yemoq
자다/주무시다	uxlamoq
상자	quti
꺼내다	sug'urmoq
운전	haydamoq
수학	matematika
인사하다	salomlashmoq
이쪽	bu
한테서	-dan
뭘요	unchalik emas
동아리	to'garak
같은과	o'xshash daraja
윗사람	o'zidan katta odam
역사	tarix
이분	bu kishi
우리	biz/bizning
반친구	xonadosh
다니다	qatnamoq
친절하다	mehribon
사장님	direktor
전에	oldin
멋있다	kelishgan
부모님	ota-ona
미인	chiroyli ayol
대학교	universitet
신문사	bosmaxona
중학교	o'rta maktab
공손하다	kamtar
강아지	kuchukcha
가족사진	oilaviy rasm
웃다	kulmoq
취미	hobby
아기	chaqaloq
태어나다	tug'ilmoq
다른나라	boshqa davlat
되다	bo'lmoq
새벽	sahar
아침	ertalab
낮	kunduzi
저녁	kechki payt
밤	tun
오전	obeddan oldin
오후	obeddan keyin
일어나다	uyg'onmoq
버스를 기다리다	avtobus kutmoq
운전하다	mashina minmoq
버스를 타다	avtobusga minmoq
세수하다	yuvinmoq
청소하다	uy tozalamoq
회의하다	majliz o'tkizmoq
빨래하다	kir yuvmoq
전화하다	telefon qilmoq
컴퓨터를 하다	kompyuterda ishlamoq
요리하다	ovqat pishirmoq
샤워하다	dush qabul qilmoq
시	soat
분	minut
반	yarim
쯤	taxminan
아침	nonushta
저녁	kechki ovqat
수업을 하다	dars qilmoq
시험을 보다	imtixon topshirmoq
그리다	rasm chizmoq
이번	bu safar
방학	ta'til
조금 후	birozdan so'ng
주말 잘 보내다	dam olish kunini yaxshi o'tkazmoq
데이트하다	uchrashuvga chiqmoq
박물관	muzey
연습	mashq
전통	milliy
이메일	e-mail
출입국관리사무소	muhojirlar markazi
그렇지만	lekin
머리	bosh
목	bo'yin
어깨	yelka
팔	qo'l
손	qo'l
가슴	ko'krak
배	qorin
허리	bel
다리	oyoq
무릎	tizza
발	oyoq
눈	ko'z
코	burun
입	og'iz
귀	quloq
얼굴	yuz/aft/bet
기침을 하다	yo'talmoq
목이 아프다	tomog'i og'rimoq
열이 나다	isitma chiqmoq
콧물이 나다	burun oqmoq
바쁘다	band bo'lmoq
배고프다	qorni ochmoq
예쁘다	chiroyli
편지	xat
쓰다	yozmoq
나쁘다	yomon
담배를 피우다	sigaret chekmoq
알겠다	tushunarli
늦다	kechikmoq
감기에 걸리다	shamollamoq
유행이다	urf bo'lmoq
약	dori
